구,BusanCultureWorker2021,BusanCultureWorkeAvg,BusanPerformance2021,BusanPerformanceAvg,BusanContentsG2021,BusanContentsGAvg,BusanContentsH2021,BusanContentsH2Avg,BusanConApplicants2022,BusanConApplicantsAvg
강서구,1142,888,250,250,1050,1050,3899,3899,251,251
금정구,1641,888,250,250,1050,1050,3899,3899,251,251
기장구,1167,888,250,250,1050,1050,3899,3899,251,251
남구,884,888,250,250,1050,1050,3899,3899,251,251
동구,529,888,250,250,1050,1050,3899,3899,251,251
동래구,1096,888,250,250,1050,1050,3899,3899,251,251
부산진구,1827,888,250,250,1050,1050,3899,3899,251,251
북구,685,888,250,250,1050,1050,3899,3899,251,251
사상구,565,888,250,250,1050,1050,3899,3899,251,251
사하구,573,888,250,250,1050,1050,3899,3899,251,251
서구,348,888,250,250,1050,1050,3899,3899,251,251
수영구,461,888,250,250,1050,1050,3899,3899,251,251
연제구,635,888,250,250,1050,1050,3899,3899,251,251
영도구,317,888,250,250,1050,1050,3899,3899,251,251
중구,369,888,250,250,1050,1050,3899,3899,251,251
해운대구,1965,888,250,250,1050,1050,3899,3899,251,251
