구,busan_CultureBudget2021,busan_CultureBudget_avg,busan_CulArtBudget2021,busan_CulArtBudget_avg,busan_Cul_Goverment2021,busan_Cul_Goverment_avg,busan_Cul_Art2021,busan_Cul_Art_avg,busan_BusanDonation2022,busan_BusanDonation_avg
강서구,68455478,101932422.3,4586904,14104325.6,19.08,18.3,6.70056529296311,10.81,39245260,20531686
금정구,285035168,101932422.3,4391488,14104325.6,61.82,18.3,1.54068286759618,10.81,6300000,20531686
기장구,275453982,101932422.3,15455934,14104325.6,43.49,18.3,5.61107662622208,10.81,36000000,20531686
남구,69478647,101932422.3,15455934,14104325.6,14.49,18.3,22.2455886338719,10.81,20531686,20531686
동구,373802965,101932422.3,137732785,14104325.6,2.81,18.3,36.8463596857772,10.81,18547000,20531686
동래구,28294477,101932422.3,2511465,14104325.6,7.2,18.3,8.87616689292401,10.81,23500823,20531686
부산진구,43589095,101932422.3,5609011,14104325.6,6.37,18.3,12.8679225847657,10.81,9600000,20531686
북구,70989629,101932422.3,2644676,14104325.6,14.02,18.3,3.72543995123569,10.81,10000000,20531686
사상구,69956785,101932422.3,5653928,14104325.6,15.97,18.3,8.08202949863976,10.81,14900000,20531686
사하구,34590490,101932422.3,4104950,14104325.6,6.54,18.3,11.8672791278758,10.81,20531686,20531686
서구,62890651,101932422.3,3183600,14104325.6,20.29,18.3,5.06211964636842,10.81,43440000,20531686
수영구,62552517,101932422.3,9601659,14104325.6,18.59,18.3,15.3497564294655,10.81,14900893,20531686
연제구,29881162,101932422.3,5428192,14104325.6,5.7,18.3,18.1659334399378,10.81,29688765,20531686
영도구,67061239,101932422.3,4646252,14104325.6,19.35,18.3,3.64,10.81,1000000,20531686
중구,48219261,101932422.3,2616563,14104325.6,30.61,18.3,6.9283718423395,10.81,24020000,20531686
해운대구,40667210,101932422.3,2045868,14104325.6,6.36,18.3,5.42638552672966,10.81,16300863,20531686
