구,sat_intent,edu_intent,sat_leisure,happy_life,perf_revenue,art_revenue,global_exchange,enjoyment_outcome_index,market_performance_index,busan_arts_achievement_index
강서구,55.55555555555556,100.0,201.68,104.04,100.0,100.0,100.0,115.32,100.0,107.66
금정구,55.55555555555556,100.0,62.76,126.92,100.0,100.0,100.0,86.31,100.0,93.16
기장군,55.55555555555556,100.0,361.88,114.57,100.0,100.0,100.0,158.0,100.0,129.0
남구,55.55555555555556,100.0,60.47,125.27,100.0,100.0,100.0,85.32,100.0,92.66
동구,55.55555555555556,100.0,94.34,65.78,100.0,100.0,100.0,78.92,100.0,89.46
동래구,55.55555555555556,100.0,45.5,148.76,100.0,100.0,100.0,87.45,100.0,93.72
부산진구,55.55555555555556,100.0,82.86,109.64,100.0,100.0,100.0,87.01,100.0,93.5
북구,55.55555555555556,100.0,0.0,83.9,100.0,100.0,100.0,59.86,100.0,79.93
사상구,55.55555555555556,100.0,35.89,58.56,100.0,100.0,100.0,62.5,100.0,81.25
사하구,55.55555555555556,100.0,63.16,51.59,100.0,100.0,100.0,67.58,100.0,83.79
서구,55.55555555555556,100.0,74.73,102.96,100.0,100.0,100.0,83.31,100.0,91.66
수영구,55.55555555555556,100.0,28.08,95.58,100.0,100.0,100.0,69.8,100.0,84.9
연제구,55.55555555555556,100.0,16.52,136.77,100.0,100.0,100.0,77.21,100.0,88.6
영도구,55.55555555555556,100.0,86.33,71.61,100.0,100.0,100.0,78.37,100.0,89.18
중구,55.55555555555556,100.0,297.83,72.11,100.0,100.0,100.0,131.37,100.0,115.68
해운대구,55.55555555555556,100.0,87.96,131.95,100.0,100.0,100.0,93.87,100.0,96.94
