구,workers,participants,contents_count,contents_held,manpower_index,contents_index,busan_arts_creation_production_index
강서구,128.6,100.0,100.0,100.0,114.3,100.0,107.15
금정구,184.8,100.0,100.0,100.0,142.4,100.0,121.2
기장구,131.42,100.0,100.0,100.0,115.71,100.0,107.85
남구,99.55,100.0,100.0,100.0,99.78,100.0,99.89
동구,59.57,100.0,100.0,100.0,79.78,100.0,89.89
동래구,123.42,100.0,100.0,100.0,111.71,100.0,105.85
부산진구,205.74,100.0,100.0,100.0,152.87,100.0,126.44
북구,77.14,100.0,100.0,100.0,88.57,100.0,94.28
사상구,63.63,100.0,100.0,100.0,81.82,100.0,90.91
사하구,64.53,100.0,100.0,100.0,82.26,100.0,91.13
서구,39.19,100.0,100.0,100.0,69.6,100.0,84.8
수영구,51.91,100.0,100.0,100.0,75.96,100.0,87.98
연제구,71.51,100.0,100.0,100.0,85.76,100.0,92.88
영도구,35.7,100.0,100.0,100.0,67.85,100.0,83.92
중구,41.55,100.0,100.0,100.0,70.78,100.0,85.39
해운대구,221.28,100.0,100.0,100.0,160.64,100.0,130.32
