구,Aacs_2021,Aacs_2022,Aacitt_2021,Aacitt_2022,happiness_2021,happiness_2022,ms_2021,ms_2022,Ams_2021,Ams_2020,Noce_2019,Qof_2021,Qof_2022,Swaace_2021,Swaace_2022,Lls_2021,Lls_2022
강남구,5.65,5.56222,150.9,175.6,6.53,6.35,50902.5,87856.0,34469,32489,9.03,6.08,6.81,6.24,5.91,5.97,5.53
강동구,5.65,5.56222,150.9,175.6,6.27,6.86,41418.5,60038.75,18986,6701,9.03,5.88,6.68,5.41,6.05,5.35,5.88
강북구,5.65,5.56222,150.9,175.6,6.18,6.52,31132.5,31917.75,18986,6701,9.03,5.97,6.86,6.11,6.28,5.8,6.02
강서구,5.65,5.56222,150.9,175.6,6.13,6.37,38785.625,74212.375,18986,6701,9.03,5.86,6.58,5.45,6.09,5.4,5.91
관악구,5.65,5.56222,150.9,175.6,6.23,6.73,29615.375,73335.875,18986,6701,9.03,5.87,6.53,5.72,5.68,5.67,5.34
광진구,5.65,5.56222,150.9,175.6,6.38,6.53,43185.875,95399.125,18986,6701,9.03,5.83,6.3,5.74,5.68,5.64,5.64
구로구,5.65,5.56222,150.9,175.6,6.29,6.48,33578.625,26088.875,18986,6701,9.03,5.9,6.44,5.45,5.76,5.46,5.43
금천구,5.65,5.56222,150.9,175.6,6.19,6.37,37742.125,30014.25,18986,6701,9.03,5.91,6.16,5.54,5.72,5.48,5.54
노원구,5.65,5.56222,150.9,175.6,6.38,6.59,36377.375,22121.5,18986,6701,9.03,5.96,7.87,5.58,5.62,5.58,5.49
도봉구,5.65,5.56222,150.9,175.6,6.06,6.62,44489.875,30524.625,18986,6701,9.03,5.83,6.15,5.4,5.62,5.4,5.56
동대문구,5.65,5.56222,150.9,175.6,6.24,6.76,32354.25,85993.375,18986,6701,9.03,5.86,6.64,5.44,6.32,5.44,6.12
동작구,5.65,5.56222,150.9,175.6,6.36,7.11,39375.5,44233.375,18986,6701,9.03,5.95,6.78,5.68,6.44,5.61,6.12
마포구,5.65,5.56222,150.9,175.6,6.29,6.91,46992.625,55752.875,18986,6701,9.03,5.96,6.38,5.79,6.1,5.72,5.9
서대문구,5.65,5.56222,150.9,175.6,6.1,6.91,41375.25,53041.25,18986,6701,9.03,6.02,6.82,6.14,6.3,5.85,6.04
서초구,5.65,5.56222,150.9,175.6,6.38,6.96,64112.125,50705.0,18986,6701,9.03,6.1,7.27,6.18,6.09,5.9,5.72
성동구,5.65,5.56222,150.9,175.6,6.28,6.99,33645.0,64368.5,18986,6701,9.03,5.96,6.73,6.18,6.42,5.91,6.22
성북구,5.65,5.56222,150.9,175.6,6.19,6.95,31366.75,81957.875,18986,6701,9.03,5.95,6.45,5.79,5.75,5.7,5.64
송파구,5.65,5.56222,150.9,175.6,6.45,7.06,36822.0,58284.875,18986,6701,9.03,6.02,6.91,6.19,6.26,5.92,6.12
양천구,5.65,5.56222,150.9,175.6,6.03,6.46,34243.25,39625.375,18986,6701,9.03,5.86,5.96,5.36,5.52,5.3,5.41
영등포구,5.65,5.56222,150.9,175.6,6.33,6.38,42331.25,32707.0,18986,6701,9.03,5.95,5.1,5.53,4.28,5.44,3.99
용산구,5.65,5.56222,150.9,175.6,6.13,6.5,46997.75,60288.75,18986,6701,9.03,5.83,6.42,5.44,5.71,5.46,5.67
은평구,5.65,5.56222,150.9,175.6,6.24,7.01,39373.625,42683.125,18986,6701,9.03,5.91,6.72,5.6,6.61,5.45,6.34
종로구,5.65,5.56222,150.9,175.6,6.23,6.9,47359.125,67999.328125,213109,107372,9.03,5.92,6.7,5.53,6.69,5.55,6.43
중구,5.65,5.56222,150.9,175.6,6.35,6.44,40040.0,61444.5,18986,6701,9.03,5.96,6.18,6.17,5.89,5.92,5.74
중랑구,5.65,5.56222,150.9,175.6,6.32,6.92,29735.75,52583.875,18986,6701,9.03,5.83,6.31,5.46,5.82,5.4,5.74
