구,Number_of_cultural_workers,Arts_and_Culture_Activist,Number_of_cultural_contents,Workforce_Index,Content_Index,art_manpower_index
강남구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
강동구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
강북구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
강서구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
관악구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
광진구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
구로구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
금천구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
노원구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
도봉구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
동대문구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
동작구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
마포구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
서대문구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
서초구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
성동구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
성북구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
송파구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
양천구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
영등포구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
용산구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
은평구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
종로구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
중구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
중랑구,133.82167557439755,109.22701949860725,100.0,121.5243475365024,100.0,110.7621737682512
