구,sat_intent,edu_intent,sat_leisure,happy_life,perf_revenue,art_revenue,global_exchange,enjoyment_outcome_index,market_performance_index,arts_achievement_index
강남구,55.69,94.71,92.63,104.63,172.6,100.0,100.0,86.92,124.2,105.56
강동구,55.69,111.83,109.91,111.51,144.96,100.0,100.0,97.23,114.99,106.11
강북구,55.69,102.78,103.79,110.2,102.52,100.0,100.0,93.12,100.84,96.98
강서구,55.69,111.74,109.44,108.1,191.34,100.0,100.0,96.24,130.45,113.34
관악구,55.69,99.3,94.18,109.63,247.63,100.0,100.0,89.7,149.21,119.46
광진구,55.69,98.95,100.0,105.21,220.9,100.0,100.0,89.96,140.3,115.13
구로구,55.69,105.69,99.45,106.09,77.69,100.0,100.0,91.73,92.56,92.15
금천구,55.69,103.25,101.09,103.57,79.52,100.0,100.0,90.9,93.17,92.04
노원구,55.69,100.72,98.39,117.67,60.81,100.0,100.0,93.12,86.94,90.03
도봉구,55.69,104.07,102.96,107.36,68.61,100.0,100.0,92.52,89.54,91.03
동대문구,55.69,116.18,112.5,110.82,265.79,100.0,100.0,98.8,155.26,127.03
동작구,55.69,113.38,109.09,112.87,112.34,100.0,100.0,97.76,104.11,100.94
마포구,55.69,105.35,103.15,108.45,118.64,100.0,100.0,93.16,106.21,99.68
서대문구,55.69,102.61,103.25,113.28,128.2,100.0,100.0,93.71,109.4,101.56
서초구,55.69,98.54,96.95,114.14,79.09,100.0,100.0,91.33,93.03,92.18
성동구,55.69,103.88,105.25,112.11,191.32,100.0,100.0,94.23,130.44,112.34
성북구,55.69,99.31,98.95,110.34,261.29,100.0,100.0,91.07,153.76,122.42
송파구,55.69,101.13,103.38,112.12,158.29,100.0,100.0,93.08,119.43,106.26
양천구,55.69,102.99,102.08,104.42,115.72,100.0,100.0,91.3,105.24,98.27
영등포구,55.69,77.4,73.35,93.25,77.26,100.0,100.0,74.92,92.42,83.67
용산구,55.69,104.96,103.85,108.08,128.28,100.0,100.0,93.14,109.43,101.28
은평구,55.69,118.04,116.33,113.02,108.41,100.0,100.0,100.77,102.8,101.78
종로구,55.69,120.98,115.86,111.97,143.58,100.0,100.0,101.12,114.53,107.82
중구,55.69,95.46,96.96,102.55,153.46,100.0,100.0,87.66,117.82,102.74
중랑구,55.69,106.59,106.3,108.86,176.84,100.0,100.0,94.36,125.61,109.98
