구,audience_rate,visit_num,expenditure,reading,volunteer,club,education,enjoyment_index,participation_index,arts_enjoyment_index
강남구,109.51,104.13,114.75,100.0,34.83,173.68,100.0,107.1,102.84,104.97
강동구,109.51,108.25,114.75,100.0,94.16,173.68,100.0,108.13,122.61,115.37
강북구,109.51,74.05,114.75,100.0,90.55,173.68,100.0,99.58,121.41,110.5
강서구,109.51,79.91,114.75,100.0,38.16,173.68,100.0,101.04,103.95,102.5
관악구,109.51,102.2,114.75,100.0,135.71,173.68,100.0,106.62,136.46,121.54
광진구,109.51,94.8,114.75,100.0,31.28,173.68,100.0,104.76,101.65,103.21
구로구,109.51,97.69,114.75,100.0,108.33,173.68,100.0,105.49,127.34,116.42
금천구,109.51,87.56,114.75,100.0,40.61,173.68,100.0,102.96,104.76,103.86
노원구,109.51,68.94,114.75,100.0,82.93,173.68,100.0,98.3,118.87,108.58
도봉구,109.51,79.84,114.75,100.0,198.11,173.68,100.0,101.02,157.26,129.14
동대문구,109.51,166.22,114.75,100.0,385.71,173.68,100.0,122.62,219.8,171.21
동작구,109.51,66.25,114.75,100.0,306.94,173.68,100.0,97.63,193.54,145.58
마포구,109.51,82.92,114.75,100.0,133.33,173.68,100.0,101.8,135.67,118.73
서대문구,109.51,100.0,114.75,100.0,80.22,173.68,100.0,106.06,117.97,112.02
서초구,109.51,65.84,114.75,100.0,267.44,173.68,100.0,97.52,180.37,138.94
성동구,109.51,127.82,114.75,100.0,12.96,173.68,100.0,113.02,95.55,104.28
성북구,109.51,126.6,114.75,100.0,54.12,173.68,100.0,112.72,109.27,111.0
송파구,109.51,71.32,114.75,100.0,52.83,173.68,100.0,98.9,108.84,103.87
양천구,109.51,80.53,114.75,100.0,103.09,173.68,100.0,101.2,125.59,113.4
영등포구,109.51,39.23,114.75,100.0,8.71,173.68,100.0,90.87,94.13,92.5
용산구,109.51,128.57,114.75,100.0,242.35,173.68,100.0,113.21,172.01,142.61
은평구,109.51,96.88,114.75,100.0,261.22,173.68,100.0,105.28,178.3,141.79
종로구,109.51,178.32,114.75,100.0,113.73,173.68,100.0,125.64,129.14,127.39
중구,109.51,107.27,114.75,100.0,107.69,173.68,100.0,107.88,127.12,117.5
중랑구,109.51,134.69,114.75,100.0,148.72,173.68,100.0,114.74,140.8,127.77
