구,cul_fac_num,mil_fac_num,hall_num,hall_rate,hall_num_rate,facilities_index,facilities_people_index,arts_facilities_index
강남구,100.0,98.56187968401863,100.0,100.0,100.0,99.52,100.0,99.76
강동구,100.0,98.58823529411764,100.0,100.0,100.0,99.53,100.0,99.76
강북구,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강서구,100.0,97.8523489932886,120.0,100.0,110.0,102.62,100.0,101.31
관악구,100.0,95.64516129032258,100.0,100.0,100.0,98.55,100.0,99.28
광진구,100.0,98.19193324061195,114.28571428571428,100.0,107.14285714285714,101.78,100.0,100.89
구로구,100.0,97.62489762489763,100.0,100.0,100.0,99.21,100.0,99.6
금천구,100.0,95.40229885057471,100.0,100.0,100.0,98.47,100.0,99.24
노원구,100.0,99.5656894679696,100.0,100.0,100.0,99.86,100.0,99.93
도봉구,100.0,99.93990384615385,100.0,100.0,100.0,99.98,100.0,99.99
동대문구,100.0,96.97885196374622,100.0,100.0,100.0,98.99,100.0,99.5
동작구,100.0,98.39080459770115,100.97087378640776,100.0,100.48543689320388,99.63,100.0,99.82
마포구,100.0,98.44040103973263,102.56410256410255,100.0,101.28205128205127,99.91,100.0,99.96
서대문구,100.0,97.19317556411667,100.0,100.0,100.0,99.06,100.0,99.53
서초구,100.0,101.99680511182108,102.63157894736842,100.0,101.31578947368422,101.1,100.0,100.55
성동구,100.0,100.84175084175084,100.0,100.0,100.0,100.28,100.0,100.14
성북구,100.0,98.13519813519814,100.0,100.0,100.0,99.38,100.0,99.69
송파구,100.0,98.20426487093155,100.0,100.0,100.0,99.4,100.0,99.7
양천구,100.0,99.88687782805428,100.0,100.0,100.0,99.96,100.0,99.98
영등포구,100.0,97.056810403833,100.0,100.0,100.0,99.02,100.0,99.51
용산구,100.0,102.29186155285312,105.26315789473684,100.0,102.63157894736841,101.64,100.0,100.82
은평구,100.0,99.6124031007752,100.0,100.0,100.0,99.87,100.0,99.94
종로구,100.78947368421052,102.35490378646803,100.62893081761007,100.0,100.31446540880503,101.15,100.0,100.58
중구,100.0,97.80047132757265,100.374531835206,100.0,100.187265917603,99.33,100.0,99.66
중랑구,100.0,98.31932773109243,100.0,100.0,100.0,99.44,100.0,99.72
